Production_ID,Vehicle_Type,Model,Manufacturer,Production_Plant,Quarter,Year,Units_Produced,Production_Cost_Per_Unit,Total_Production_Cost,Selling_Price,Total_Revenue,Market_Segment
AUTO20240001,Truck,Hybrid Sedan,Honda,Germany,Q3,2024,944,50766,47923104,65464,61798016,Technology-Driven
AUTO20240002,Hybrid,Commercial Pickup,Toyota,Germany,Q2,2024,775,59496,46109400,75497,58510175,Commercial
AUTO20240003,Sedan,Electric Hatchback,Toyota,USA,Q1,2024,952,33563,31951976,49144,46785088,Mid-Range
AUTO20240004,Hybrid,Hybrid Sedan,Mercedes-Benz,USA,Q4,2024,222,40308,8948376,58551,12998322,Technology-Driven
AUTO20240005,Sedan,Electric Hatchback,Tesla,Germany,Q3,2024,235,39297,9234795,56512,13280320,Technology-Driven
AUTO20240006,Truck,Compact SUV,Mercedes-Benz,USA,Q3,2024,437,32067,14013279,45550,19905350,Eco-Friendly
AUTO20240007,SUV,Compact SUV,Honda,Germany,Q4,2024,615,36077,22187355,46087,28343505,Mid-Range
AUTO20240008,Electric,Compact SUV,Honda,Japan,Q2,2024,394,31409,12375146,44392,17490448,Premium
AUTO20240009,Hybrid,Luxury Sedan,Tesla,USA,Q4,2024,546,50833,27754818,62748,34260408,Premium
AUTO20240010,Electric,Luxury Sedan,Ford,Japan,Q1,2024,720,59458,42809760,73988,53271360,Eco-Friendly
AUTO20240011,Sedan,Luxury Sedan,Tesla,Japan,Q4,2024,677,50500,34188500,64083,43384191,Premium
AUTO20240012,Hybrid,Electric Hatchback,Toyota,USA,Q2,2024,557,44518,24796526,64114,35711498,Mid-Range
AUTO20240013,SUV,Electric Hatchback,Ford,USA,Q2,2024,883,55883,49344689,70979,62674457,Technology-Driven
AUTO20240014,Hybrid,Hybrid Sedan,Honda,Japan,Q2,2024,545,31558,17199110,45877,25002965,Premium
AUTO20240015,Hybrid,Compact SUV,Toyota,Japan,Q1,2024,625,58077,36298125,71160,44475000,Commercial
AUTO20240016,Truck,Luxury Sedan,Mercedes-Benz,Germany,Q3,2024,736,58256,42876416,69492,51146112,Technology-Driven
AUTO20240017,Sedan,Electric Hatchback,Ford,USA,Q1,2024,731,31438,22981178,47333,34600423,Technology-Driven
AUTO20240018,Hybrid,Electric Hatchback,Mercedes-Benz,Germany,Q1,2024,366,58109,21267894,73693,26971638,Commercial
AUTO20240019,SUV,Commercial Pickup,Toyota,Japan,Q2,2024,675,49387,33336225,65864,44458200,Premium
AUTO20240020,Truck,Commercial Pickup,Ford,USA,Q1,2024,589,43789,25791721,60986,35920754,Mid-Range
AUTO20240021,SUV,Electric Hatchback,Honda,Germany,Q3,2024,342,55258,18898236,73039,24979338,Premium
AUTO20240022,SUV,Compact SUV,Honda,Germany,Q3,2024,692,52172,36103024,67608,46784736,Premium
AUTO20240023,SUV,Electric Hatchback,Ford,Japan,Q2,2024,926,55069,50993894,71765,66454390,Commercial
AUTO20240024,Hybrid,Hybrid Sedan,Ford,Japan,Q2,2024,809,55272,44715048,71377,57743993,Eco-Friendly
AUTO20240025,Sedan,Commercial Pickup,Honda,Japan,Q2,2024,903,30435,27482805,46054,41586762,Technology-Driven
AUTO20240026,SUV,Luxury Sedan,Tesla,Japan,Q1,2024,817,56671,46300207,73281,59870577,Technology-Driven
AUTO20240027,Hybrid,Electric Hatchback,Tesla,Japan,Q4,2024,538,33784,18175792,51140,27513320,Eco-Friendly
AUTO20240028,SUV,Electric Hatchback,Mercedes-Benz,USA,Q4,2024,228,40925,9330900,56179,12808812,Technology-Driven
AUTO20240029,Sedan,Hybrid Sedan,Tesla,Germany,Q4,2024,237,54688,12961056,73725,17472825,Premium
AUTO20240030,Hybrid,Compact SUV,Ford,Japan,Q4,2024,879,55187,48509373,74788,65738652,Commercial
AUTO20240031,SUV,Commercial Pickup,Honda,Japan,Q1,2024,891,31608,28162728,48005,42772455,Commercial
AUTO20240032,Sedan,Commercial Pickup,Honda,Germany,Q1,2024,778,33086,25740908,44601,34699578,Premium
AUTO20240033,Sedan,Compact SUV,Ford,USA,Q3,2024,729,41018,29902122,57983,42269607,Premium
AUTO20240034,Electric,Luxury Sedan,Ford,USA,Q1,2024,262,47868,12541416,66499,17422738,Technology-Driven
AUTO20240035,Hybrid,Commercial Pickup,Honda,Japan,Q4,2024,808,59974,48458992,72652,58702816,Technology-Driven
AUTO20240036,Sedan,Commercial Pickup,Ford,Germany,Q2,2024,787,34283,26980721,48309,38019183,Commercial
AUTO20240037,Sedan,Hybrid Sedan,Mercedes-Benz,USA,Q3,2024,353,39996,14118588,59032,20838296,Premium
AUTO20240038,Truck,Hybrid Sedan,Ford,USA,Q1,2024,818,31127,25461886,41703,34113054,Eco-Friendly
AUTO20240039,Sedan,Compact SUV,Tesla,Japan,Q3,2024,174,30274,5267676,49456,8605344,Technology-Driven
AUTO20240040,Truck,Commercial Pickup,Tesla,Japan,Q1,2024,551,44294,24405994,60784,33491984,Eco-Friendly
AUTO20240041,Electric,Electric Hatchback,Ford,Germany,Q1,2024,755,56124,42373620,72919,55053845,Eco-Friendly
AUTO20240042,Electric,Commercial Pickup,Honda,Germany,Q1,2024,850,57110,48543500,68133,57913050,Commercial
AUTO20240043,Truck,Hybrid Sedan,Mercedes-Benz,Japan,Q3,2024,538,53349,28701762,65649,35319162,Commercial
AUTO20240044,Sedan,Commercial Pickup,Mercedes-Benz,Japan,Q3,2024,571,43455,24812805,63396,36199116,Commercial
AUTO20240045,Sedan,Hybrid Sedan,Ford,USA,Q2,2024,130,49714,6462820,69332,9013160,Technology-Driven
AUTO20240046,Electric,Hybrid Sedan,Mercedes-Benz,Japan,Q3,2024,636,56396,35867856,68393,43497948,Eco-Friendly
AUTO20240047,Hybrid,Compact SUV,Ford,USA,Q4,2024,218,31794,6931092,48430,10557740,Eco-Friendly
AUTO20240048,Electric,Hybrid Sedan,Tesla,Japan,Q2,2024,749,42667,31957583,58009,43448741,Premium
AUTO20240049,Hybrid,Electric Hatchback,Tesla,Germany,Q1,2024,254,40198,10210292,57737,14665198,Commercial
AUTO20240050,Sedan,Luxury Sedan,Tesla,USA,Q1,2024,397,45592,18100024,59241,23518677,Eco-Friendly
AUTO20240051,Electric,Luxury Sedan,Tesla,Germany,Q3,2024,361,58606,21156766,71859,25941099,Eco-Friendly
AUTO20240052,Hybrid,Compact SUV,Mercedes-Benz,USA,Q4,2024,488,33602,16397776,51389,25077832,Mid-Range
AUTO20240053,Truck,Commercial Pickup,Ford,Japan,Q2,2024,577,55646,32107742,71598,41312046,Premium
AUTO20240054,SUV,Electric Hatchback,Mercedes-Benz,Germany,Q1,2024,449,56728,25470872,71493,32100357,Technology-Driven
AUTO20240055,Truck,Hybrid Sedan,Tesla,Japan,Q1,2024,194,36265,7035410,46317,8985498,Premium
AUTO20240056,Electric,Compact SUV,Toyota,Japan,Q1,2024,164,41882,6868648,54339,8911596,Premium
AUTO20240057,Hybrid,Compact SUV,Honda,Germany,Q2,2024,218,56632,12345776,68795,14997310,Commercial
AUTO20240058,Hybrid,Hybrid Sedan,Honda,USA,Q3,2024,730,51500,37595000,69173,50496290,Technology-Driven
AUTO20240059,Electric,Hybrid Sedan,Ford,Germany,Q1,2024,594,32001,19008594,49471,29385774,Mid-Range
AUTO20240060,Hybrid,Electric Hatchback,Honda,Germany,Q2,2024,639,46421,29663019,64435,41173965,Technology-Driven
AUTO20240061,Truck,Electric Hatchback,Honda,Germany,Q4,2024,172,57611,9909092,69594,11970168,Eco-Friendly
AUTO20240062,Sedan,Electric Hatchback,Toyota,USA,Q1,2024,708,34405,24358740,45396,32140368,Premium
AUTO20240063,Hybrid,Luxury Sedan,Ford,Japan,Q3,2024,868,35006,30385208,48750,42315000,Technology-Driven
AUTO20240064,Electric,Electric Hatchback,Tesla,Germany,Q3,2024,654,35497,23215038,45835,29976090,Mid-Range
AUTO20240065,Truck,Commercial Pickup,Toyota,Japan,Q1,2024,296,48928,14482688,59844,17713824,Premium
AUTO20240066,SUV,Commercial Pickup,Ford,USA,Q2,2024,443,45021,19944303,58474,25903982,Premium
AUTO20240067,Electric,Electric Hatchback,Tesla,Germany,Q3,2024,415,44800,18592000,63770,26464550,Mid-Range
AUTO20240068,Sedan,Luxury Sedan,Tesla,Germany,Q2,2024,873,36547,31905531,51934,45338382,Mid-Range
AUTO20240069,Truck,Hybrid Sedan,Toyota,Japan,Q4,2024,562,33869,19034378,48999,27537438,Premium
AUTO20240070,Sedan,Compact SUV,Ford,Japan,Q1,2024,708,38273,27097284,53950,38196600,Mid-Range
AUTO20240071,Truck,Commercial Pickup,Tesla,USA,Q3,2024,857,55972,47968004,68974,59110718,Eco-Friendly
AUTO20240072,SUV,Hybrid Sedan,Toyota,Germany,Q4,2024,288,33409,9621792,44241,12741408,Technology-Driven
AUTO20240073,SUV,Luxury Sedan,Ford,USA,Q1,2024,524,30908,16195792,43639,22866836,Premium
AUTO20240074,Sedan,Compact SUV,Honda,Germany,Q3,2024,646,45696,29519616,56880,36744480,Premium
AUTO20240075,Sedan,Compact SUV,Honda,USA,Q2,2024,307,51893,15931151,71462,21938834,Premium
AUTO20240076,Electric,Commercial Pickup,Ford,Germany,Q2,2024,569,46968,26724792,64920,36939480,Mid-Range
AUTO20240077,Hybrid,Compact SUV,Tesla,USA,Q3,2024,949,42904,40715896,56866,53965834,Premium
AUTO20240078,Electric,Luxury Sedan,Tesla,USA,Q1,2024,485,44216,21444760,59062,28645070,Commercial
AUTO20240079,Hybrid,Commercial Pickup,Tesla,USA,Q2,2024,625,55188,34492500,67258,42036250,Mid-Range
AUTO20240080,Electric,Commercial Pickup,Tesla,Germany,Q3,2024,296,53613,15869448,66045,19549320,Commercial
AUTO20240081,Electric,Commercial Pickup,Ford,Japan,Q2,2024,918,43818,40224924,56606,51964308,Eco-Friendly
AUTO20240082,Hybrid,Hybrid Sedan,Mercedes-Benz,USA,Q3,2024,397,59803,23741791,75343,29911171,Premium
AUTO20240083,SUV,Hybrid Sedan,Honda,USA,Q3,2024,851,39387,33518337,53378,45424678,Eco-Friendly
AUTO20240084,Electric,Commercial Pickup,Honda,Japan,Q4,2024,328,48235,15821080,65098,21352144,Technology-Driven
AUTO20240085,Truck,Electric Hatchback,Toyota,Germany,Q2,2024,962,40186,38658932,57882,55682484,Technology-Driven
AUTO20240086,Hybrid,Commercial Pickup,Mercedes-Benz,Japan,Q2,2024,178,31210,5555380,50116,8920648,Technology-Driven
AUTO20240087,Electric,Compact SUV,Ford,Germany,Q3,2024,757,30017,22722869,47154,35695578,Technology-Driven
AUTO20240088,Hybrid,Electric Hatchback,Toyota,USA,Q2,2024,625,33510,20943750,45656,28535000,Technology-Driven
AUTO20240089,Sedan,Electric Hatchback,Honda,Germany,Q2,2024,700,57464,40224800,73384,51368800,Technology-Driven
AUTO20240090,Electric,Hybrid Sedan,Mercedes-Benz,USA,Q3,2024,687,42098,28921326,62016,42604992,Technology-Driven
AUTO20240091,Electric,Commercial Pickup,Mercedes-Benz,USA,Q3,2024,896,39462,35357952,53569,47997824,Mid-Range
AUTO20240092,Truck,Electric Hatchback,Toyota,Japan,Q4,2024,615,35502,21833730,54134,33292410,Premium
AUTO20240093,Electric,Luxury Sedan,Mercedes-Benz,Japan,Q3,2024,868,56754,49262472,67006,58161208,Commercial
AUTO20240094,Hybrid,Hybrid Sedan,Ford,Japan,Q3,2024,133,50999,6782867,67602,8991066,Technology-Driven
AUTO20240095,Sedan,Luxury Sedan,Honda,Japan,Q2,2024,310,51978,16113180,68303,21173930,Commercial
AUTO20240096,Hybrid,Electric Hatchback,Tesla,Germany,Q2,2024,388,42126,16344888,53909,20916692,Mid-Range
AUTO20240097,Truck,Compact SUV,Ford,Japan,Q3,2024,376,50959,19160584,62631,23549256,Eco-Friendly
AUTO20240098,Truck,Electric Hatchback,Toyota,USA,Q2,2024,876,57733,50574108,69481,60865356,Mid-Range
AUTO20240099,SUV,Luxury Sedan,Honda,USA,Q1,2024,470,51192,24060240,64237,30191390,Commercial
AUTO20240100,Sedan,Luxury Sedan,Honda,USA,Q4,2024,626,59906,37501156,72628,45465128,Premium
